"","n.back","match","mRMSE","sRMSE","n"
"1",1,"Correct",1.57733885757461,0.0226442492545823,100
"2",1,"Random chain",2.10414542833835,0.0216835443173749,100
"3",1,"Random order",1.94464711694568,0.025002726632199,100
"4",1,"Random seed",2.1427513491135,0.0183618682226969,100
"5",2,"Correct",1.73339512826246,0.0192527293515217,100
"6",2,"Random chain",2.10702210515594,0.0209472005640121,100
"7",2,"Random order",1.93779402601775,0.024619226312268,100
"8",2,"Random seed",2.13875527240638,0.0182543895359495,100
"9",3,"Correct",1.81931248604129,0.0182310966684907,100
"10",3,"Random chain",2.10629208542809,0.018162004636264,100
"11",3,"Random order",1.95129383878825,0.0233204949268393,100
"12",3,"Random seed",2.15233689809302,0.0185671581864233,100
"13",4,"Correct",1.880369705844,0.0170896977815094,100
"14",4,"Random chain",2.12498867317248,0.0182811390024604,100
"15",4,"Random order",1.94787503895909,0.0239729738959259,100
"16",4,"Random seed",2.14753746379899,0.0180237847628039,100
"17",5,"Correct",1.92821620104903,0.0163602757513747,100
"18",5,"Random chain",2.13089881831702,0.0172413284372858,100
"19",5,"Random order",1.94033175744415,0.022820201417474,100
"20",5,"Random seed",2.15167919658751,0.0175686678416675,100
"21",6,"Correct",1.96877365113031,0.0157495479851234,100
"22",6,"Random chain",2.12653122413643,0.017194936883133,100
"23",6,"Random order",1.95047269108457,0.0229133651917046,100
"24",6,"Random seed",2.16691253142125,0.0169158027277416,100
"25",7,"Correct",2.00335029453689,0.0151914979584673,100
"26",7,"Random chain",2.15927779834138,0.0160008787686135,100
"27",7,"Random order",1.95612126393682,0.0217845634025089,100
"28",7,"Random seed",2.15599932731889,0.0163255089424116,100
"29",8,"Correct",2.03461767615291,0.0145485149071594,100
"30",8,"Random chain",2.16337396901215,0.0165168371866591,100
"31",8,"Random order",1.9620678757058,0.0217714423136491,100
"32",8,"Random seed",2.1950684941209,0.0168901965829123,100
"33",9,"Correct",2.06276599378421,0.0141683417193895,100
"34",9,"Random chain",2.16991992137976,0.0152188630347266,100
"35",9,"Random order",1.97265723082472,0.0214674829403554,100
"36",9,"Random seed",2.16967790523268,0.0152586236716126,100
"37",10,"Correct",2.08788769011488,0.0140682463097284,100
"38",10,"Random chain",2.16278494253713,0.0153925089763595,100
"39",10,"Random order",1.98052655374525,0.0204548033392155,100
"40",10,"Random seed",2.17554712170549,0.015379540365014,100
"41",11,"Correct",2.11197166440299,0.0140034593006286,100
"42",11,"Random chain",2.19014250562988,0.0154961869860411,100
"43",11,"Random order",1.98368140559487,0.0204441293316591,100
"44",11,"Random seed",2.19367455621143,0.0155719009323279,100
"45",12,"Correct",2.13021147169985,0.0141206550886231,100
"46",12,"Random chain",2.18103237757371,0.0142231969934642,100
"47",12,"Random order",1.99774393714093,0.0203209714840483,100
"48",12,"Random seed",2.193165337741,0.0151079041261086,100
"49",13,"Correct",2.14490463153347,0.0141388417621811,100
"50",13,"Random chain",2.16659520421972,0.0143144497335409,100
"51",13,"Random order",1.99197803095626,0.0199883292891465,100
"52",13,"Random seed",2.18447399859499,0.016071486450971,100
"53",14,"Correct",2.15776708222331,0.0140890396388685,100
"54",14,"Random chain",2.18239244564278,0.013708039958157,100
"55",14,"Random order",2.00691128521992,0.020647311318533,100
"56",14,"Random seed",2.19286764061155,0.0158746703533457,100
"57",15,"Correct",2.17151243886332,0.0139815488968432,100
"58",15,"Random chain",2.21649104242505,0.0131733875933833,100
"59",15,"Random order",2.01505530491781,0.0197197570040338,100
"60",15,"Random seed",2.22288327517368,0.0154637419659806,100
